State,City,Avg(ppb),Max(ppb),Min(ppb)
Andhra_Pradesh,Amaravati,28,30,13
Andhra_Pradesh,Rajamahendravaram,23,46,2
Andhra_Pradesh,Tirupati,41,54,38
Andhra_Pradesh,Visakhapatnam,20,92,4
Assam,Guwahati,42,86,10
Bihar,Aurangabad,NA,NA,NA
Bihar,Begusarai,54,74,51
Bihar,Bettiah,42,48,30
Bihar,Bihar Sharif,31,36,22
Bihar,Buxar,76,82,35
Bihar,Darbhanga,61,87,55
Bihar,Gaya,47,84,24
Bihar,Hajipur,33,43,14
Bihar,Manguraha,NA,NA,NA
Bihar,Motihari,64,85,52
Bihar,Muzaffarpur,94,115,44
Bihar,Patna,74,107,63
Bihar,Purnia,34,58,21
Bihar,Rajgir,68,76,48
Chandigarh,Chandigarh,67,107,12
Chhattisgarh,Bilaspur,50,124,20
Delhi,Delhi,152,192,45
Gujarat,Ahmedabad,43,107,32
Gujarat,Ankleshwar,82,116,60
Gujarat,Gandhinagar,49,98,34
Gujarat,Vapi,NA,NA,NA
Gujarat,Vatva,34,42,20
Haryana,Ambala,97,112,4
Haryana,Bahadurgarh,74,100,2
Haryana,Ballabgarh,76,171,22
Haryana,Charkhi Dadri,38,54,13
Haryana,Dharuhera,60,75,9
Haryana,Faridabad,53,116,10
Haryana,Fatehabad,63,82,12
Haryana,Gurugram,54,147,1
Haryana,Hisar,102,115,14
Haryana,Jind,56,70,
Haryana,Kaithal,59,97,7
Haryana,Karnal,69,100,23
Haryana,Kurukshetra,68,101,2
Haryana,Mandikhera,14,95,6
Haryana,Narnaul,29,48,1
Haryana,Palwal,112,115,97
Haryana,Panchkula,34,38,1
Haryana,Panipat,49,60,20
Haryana,Rohtak,11,13,8
Haryana,Sirsa,52,59,14
Haryana,Yamunanagar,45,73,9
Himachal Pradesh,Baddi,37,59,14
Karnataka,Bagalkot,NA,NA,NA
Karnataka,Bengaluru,44,102,10
Karnataka,Bidar,NA,NA,NA
Karnataka,Chamarajanagar,14,31,14
