Year,Month,Decimal Date,Carbon Dioxide (ppm),Seasonally Adjusted CO2 (ppm)
1958,1,1958.0411,,
1958,2,1958.126,,
1958,3,1958.2027,315.69,314.42
1958,4,1958.2877,317.45,315.15
1958,5,1958.3699,317.5,314.73
1958,6,1958.4548,,
1958,7,1958.537,315.86,315.17
1958,8,1958.6219,314.93,316.17
1958,9,1958.7068,313.21,316.06
1958,10,1958.789,,
1958,11,1958.874,313.33,315.2
1958,12,1958.9562,314.67,315.44
1959,1,1959.0411,315.58,315.56
1959,2,1959.126,316.48,315.88
1959,3,1959.2027,316.65,315.37
1959,4,1959.2877,317.72,315.41
1959,5,1959.3699,318.29,315.51
1959,6,1959.4548,318.15,316.04
1959,7,1959.537,316.54,315.85
1959,8,1959.6219,314.8,316.04
1959,9,1959.7068,313.84,316.7
1959,10,1959.789,313.34,316.31
1959,11,1959.874,314.81,316.69
1959,12,1959.9562,315.58,316.36
1960,1,1960.041,316.43,316.41
1960,2,1960.1257,316.97,316.37
1960,3,1960.2049,317.58,316.27
1960,4,1960.2896,319.03,316.69
1960,5,1960.3716,320.03,317.24
1960,6,1960.4563,319.59,317.49
1960,7,1960.5383,318.18,317.51
1960,8,1960.623,315.9,317.18
1960,9,1960.7077,314.17,317.05
1960,10,1960.7896,313.83,316.82
1960,11,1960.8743,315,316.88
1960,12,1960.9563,316.19,316.97
1961,1,1961.0411,316.9,316.88
1961,2,1961.126,317.7,317.09
1961,3,1961.2027,318.54,317.25
1961,4,1961.2877,319.48,317.15
1961,5,1961.3699,320.58,317.78
1961,6,1961.4548,319.77,317.65
1961,7,1961.537,318.57,317.87
1961,8,1961.6219,316.79,318.05
1961,9,1961.7068,314.99,317.87
1961,10,1961.789,315.31,318.31
1961,11,1961.874,316.1,317.99
1961,12,1961.9562,317.01,317.79
1962,1,1962.0411,317.94,317.92
1962,2,1962.126,318.55,317.94
1962,3,1962.2027,319.68,318.39
1962,4,1962.2877,320.57,318.24
1962,5,1962.3699,321.01,318.2
1962,6,1962.4548,320.62,318.48
1962,7,1962.537,319.61,318.91
1962,8,1962.6219,317.4,318.66
1962,9,1962.7068,316.25,319.14
1962,10,1962.789,315.42,318.43
1962,11,1962.874,316.69,318.59
1962,12,1962.9562,317.7,318.48
1963,1,1963.0411,318.74,318.72
1963,2,1963.126,319.07,318.46
1963,3,1963.2027,319.86,318.56
1963,4,1963.2877,321.39,319.04
1963,5,1963.3699,322.25,319.42
1963,6,1963.4548,321.48,319.33
1963,7,1963.537,319.74,319.04
1963,8,1963.6219,317.77,319.03
1963,9,1963.7068,316.21,319.12
1963,10,1963.789,315.99,319.01
1963,11,1963.874,317.06,318.97
1963,12,1963.9562,318.35,319.14
1964,1,1964.041,319.57,319.55
1964,2,1964.1257,,
1964,3,1964.2049,,
1964,4,1964.2896,,
1964,5,1964.3716,322.26,319.42
1964,6,1964.4563,321.89,319.76
1964,7,1964.5383,320.44,319.76
1964,8,1964.623,318.69,319.99
1964,9,1964.7077,316.71,319.63
1964,10,1964.7896,316.87,319.9
1964,11,1964.8743,317.68,319.59
1964,12,1964.9563,318.71,319.5
1965,1,1965.0411,319.44,319.42
1965,2,1965.126,320.44,319.82
1965,3,1965.2027,320.89,319.58
1965,4,1965.2877,322.14,319.77
1965,5,1965.3699,322.16,319.32
1965,6,1965.4548,321.87,319.71
1965,7,1965.537,321.21,320.5
1965,8,1965.6219,318.87,320.14
1965,9,1965.7068,317.82,320.75
1965,10,1965.789,317.3,320.35
1965,11,1965.874,318.87,320.79
1965,12,1965.9562,319.42,320.21
1966,1,1966.0411,320.62,320.61
1966,2,1966.126,321.59,320.97
1966,3,1966.2027,322.39,321.07
1966,4,1966.2877,323.7,321.33
1966,5,1966.3699,324.08,321.22
1966,6,1966.4548,323.75,321.59
1966,7,1966.537,322.39,321.68
1966,8,1966.6219,320.36,321.64
1966,9,1966.7068,318.64,321.58
1966,10,1966.789,318.1,321.16
1966,11,1966.874,319.79,321.71
1966,12,1966.9562,321.03,321.82
1967,1,1967.0411,322.32,322.31
1967,2,1967.126,322.5,321.87
1967,3,1967.2027,,321.72
1967,4,1967.2877,324.42,322.04
1967,5,1967.3699,325,322.13
1967,6,1967.4548,324.09,321.92
1967,7,1967.537,322.55,321.83
1967,8,1967.6219,320.92,322.2
1967,9,1967.7068,319.25,322.21
1967,10,1967.789,319.39,322.46
1967,11,1967.874,320.72,322.66
1967,12,1967.9562,321.96,322.76
1968,1,1968.041,322.57,322.55
1968,2,1968.1257,323.14,322.52
1968,3,1968.2049,323.89,322.54
1968,4,1968.2896,325.02,322.61
1968,5,1968.3716,325.57,322.69
1968,6,1968.4563,325.36,323.2
1968,7,1968.5383,324.14,323.45
1968,8,1968.623,322.11,323.42
1968,9,1968.7077,320.33,323.3
1968,10,1968.7896,320.25,323.32
1968,11,1968.8743,321.32,323.26
1968,12,1968.9563,322.89,323.7
1969,1,1969.0411,324,323.98
1969,2,1969.126,324.42,323.79
1969,3,1969.2027,325.63,324.31
1969,4,1969.2877,326.66,324.26
1969,5,1969.3699,327.38,324.49
1969,6,1969.4548,326.7,324.51
1969,7,1969.537,325.88,325.16
1969,8,1969.6219,323.66,324.95
1969,9,1969.7068,322.38,325.35
1969,10,1969.789,,324.87
1969,11,1969.874,322.85,324.8
1969,12,1969.9562,324.12,324.92
1970,1,1970.0411,325.06,325.04
1970,2,1970.126,325.98,325.35
1970,3,1970.2027,326.93,325.59
1970,4,1970.2877,328.14,325.73
1970,5,1970.3699,328.08,325.18
1970,6,1970.4548,327.67,325.47
1970,7,1970.537,326.34,325.62
1970,8,1970.6219,324.69,325.98
1970,9,1970.7068,323.1,326.08
1970,10,1970.789,323.07,326.17
1970,11,1970.874,324.01,325.96
1970,12,1970.9562,325.13,325.94
1971,1,1971.0411,326.17,326.15
1971,2,1971.126,326.68,326.05
1971,3,1971.2027,327.17,325.83
1971,4,1971.2877,327.79,325.37
1971,5,1971.3699,328.92,326.01
1971,6,1971.4548,328.57,326.36
1971,7,1971.537,327.36,326.64
1971,8,1971.6219,325.43,326.73
1971,9,1971.7068,323.36,326.36
1971,10,1971.789,323.57,326.68
1971,11,1971.874,324.8,326.76
1971,12,1971.9562,326.01,326.83
1972,1,1972.041,326.77,326.75
1972,2,1972.1257,327.63,327
1972,3,1972.2049,327.75,326.38
1972,4,1972.2896,329.73,327.27
1972,5,1972.3716,330.07,327.15
1972,6,1972.4563,329.09,326.89
1972,7,1972.5383,,327.35
